"quadrat","scientificName","count"
1,"Blechnum spicant (L.) Smith",72
1,"Blechnum spicant L.",8
1,"Blepharostoma trichophyllum (L.) Dumort.",2
1,"Blidingia minima (Nägeli ex Kütz.) Kylin",8
1,"Blidingia minima var. minima",8
1,"Blindia acuta Bruch & W.P.Schimper, 1846",24
1,"Blitum capitatum L.",6
1,"Boehmeria nivea (L.) Gaudich.",6
1,"Bolboschoenus fluviatilis (Torr.) Soják",14
1,"Bolboschoenus maritimus subsp. paludosus (A.Nelson) T.Koyama",24
1,"BOLD:AAF0559",8
1,"BOLD:AAL5692",8
1,"BOLD:AAL5694",8
1,"BOLD:AAX0896",8
1,"BOLD:AAY3386",8
1,"Boltonia asteroides var. recognita (Fernald & Griscom) Cronquist",2
1,"Borago officinalis L.",1
1,"Botrychium dissectum Spreng.",1
1,"Botrychium lunaria (L.) Sw.",1
1,"Botrychium multifidum (S.G.Gmel.) Rupr.",24
1,"Botrychium simplex Hitch.",3
1,"Botrychium virginianum (L.) Sw.",1
1,"Botryoglossum farlowianum var. anomalum Hollenb. & I.A.Abbott",8
1,"Botrypus virginianus (L.) Michx.",2
1,"Bouteloua curtipendula (Michx.) Torr.",1
1,"Bouteloua gracilis (Kunth) Lag. ex Griffiths",6
1,"Bouteloua gracilis (Kunth) Lag. ex Steud.",6
1,"Bouteloua oligostachya (Nutt.) Torr. ex A.Gray",1
1,"Boykinia elata (Nutt.) Greene",24
1,"Boykinia occidentalis Torr. & A.Gray",32
1,"Brachyelytrum erectum (Schreb.) P.Beauv.",1
1,"Brachythecium acutum Sullivant, 1874",4
1,"Brachythecium albicans W.P.Schimper, 1853",16
1,"Brachythecium asperrimum (Mitt. ex Müll.Hal.) Sull.",8
1,"Brachythecium campestre W.P.Schimper, 1853",5
1,"Brachythecium collinum (C.Müll.) B. & S.G.",8
1,"Brachythecium digastrum C.Müller ex Kindberg, 1892",5
1,"Brachythecium frigidum Bescherelle, 1872",8
1,"Brachythecium laetum W.P.Schimper, 1853",6
1,"Brachythecium oxycladon (Brid.) A.Jaeger",7
1,"Brachythecium oxycladon var. dentatum (Lesq. & James) Grout",2
1,"Brachythecium populeum W.P.Schimper, 1853",9
1,"Brachythecium reflexum W.P.Schimper, 1853",2
1,"Brachythecium rivulare B.S.G.",1
1,"Brachythecium rivulare W.P.Schimper, 1853",5
1,"Brachythecium rotaeanum De Notaris, 1867",1
1,"Brachythecium rutabulum W.P.Schimper, 1853",11
1,"Brachythecium salebrosum W.P.Schimper, 1853",33
1,"Brachythecium starkii W.P.Schimper, 1853",2
